rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,769796,41,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1;r5=R7","benchmark_awfy_richards_opt",2514
2,290777,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | BRF_ID_REG(c3,r4)","r1=R7;c1=int:6;r2=R8;r3=R3;c2=int:1;r4=R9;c3=label@4400","benchmark_awfy_richards_opt",4378
3,245462,28,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R3;r2=R4;r3=R2;c1=int:24;c2=int:6","benchmark_awfy_richards_opt",509
4,245447,13,1,7,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R8;r2=R12;c1=int:24;c2=int:6;r3=R9;r4=R13;c3=int:1","benchmark_awfy_richards_opt",2540
5,195646,6,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | SETATTRS_REG_INT(r5,c2)","r1=R24;r2=R60;r3=R23;r4=R0;r5=R17;c1=int:21;c2=int:6","benchmark_awfy_richards_opt",1155
6,195644,4,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r5,r1,c3)","r1=R3;r2=R68;r3=R6;r4=R4;c1=int:23;c2=int:6;r5=R7;c3=int:1","benchmark_awfy_richards_opt",4299
7,182099,73,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R3;c1=int:0;r2=R5;r3=R4","benchmark_awfy_richards_opt",524
8,181273,15,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R7;r2=R6;r3=R1;r4=R0","benchmark_awfy_richards_opt",2965
9,165076,5,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | UNLINK_REG(r3) | BRF_ID_REG(c2,r1)","r1=R17;r2=R14;c1=int:0;r3=R15;c2=label@4193","benchmark_awfy_richards_opt",4077
10,163473,15,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R12;r2=R5;r3=R11;c1=int:9;r4=R13","benchmark_awfy_richards_opt",644
11,149489,12,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:0","benchmark_awfy_richards_opt",2934
12,129850,2,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R1;r2=R27;r3=R14;c1=int:2;r4=R3","benchmark_awfy_richards_opt",4038
13,129850,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r5)","r1=R14;r2=R27;c1=int:2;r3=R3;r4=R13;r5=R1","benchmark_awfy_richards_opt",4041
14,119158,9,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_opt",0
15,119158,9,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_richards_opt",2
16,119157,8,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R60;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_opt",474
17,109153,11,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R49;c1=int:4;r2=R60;c2=int:256;r3=R50;r4=R51;r5=R0","benchmark_awfy_richards_opt",2263
18,106953,2,1,4,over_3_symbols,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R5;r2=R8;c1=int:0;r3=R6","benchmark_awfy_richards_opt",4317
19,106953,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R7;r2=R3;c1=int:1;r3=R5;r4=R6;r5=R8;c2=int:0","benchmark_awfy_richards_opt",4309
20,106953,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BTOI_REG(r1) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1)","r1=R5;r2=R6;r3=R7;r4=R8;c1=int:0","benchmark_awfy_richards_opt",4313
21,106953,2,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | BTOI_REG(r4)","r1=R6;c1=int:6;r2=R7;r3=R3;c2=int:1;r4=R5","benchmark_awfy_richards_opt",4306
22,106605,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R1;r2=R15;c1=int:2;r3=R2","benchmark_awfy_richards_opt",9683
23,106605,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R2;r2=R15;c1=int:2;r3=R1;c2=int:0;c3=label@9918","benchmark_awfy_richards_opt",9694
24,106604,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2) | ICOPY_REG_REG(r5,r4)","c1=label@9918;r1=R1;r2=R3;r3=R15;r4=R2;c2=int:2;r5=R4","benchmark_awfy_richards_opt",9704
25,106604,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R4;r2=R2;r3=R6;r4=R3;r5=R5","benchmark_awfy_richards_opt",9714
26,106604,1,1,6,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R1;r2=R2;c1=int:0;c2=label@9918;r3=R3;r4=R15","benchmark_awfy_richards_opt",9698
27,106604,1,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R2;c1=label@9918;r2=R1;r3=R3;r4=R15;c2=int:2","benchmark_awfy_richards_opt",9702
