entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-noopt,1,1,1,BRF_ID_REG,1035382,0,0,0,0,0.000000,complete
rexxcps-noopt,2,1,1,LOAD_REG_INT,925857,0,0,0,0,0.000000,complete
rexxcps-noopt,3,1,1,NULL_REG,722854,0,0,0,0,0.000000,complete
rexxcps-noopt,4,1,1,SCOPY_REG_REG,598885,0,0,0,0,0.000000,complete
rexxcps-noopt,5,1,1,ITOS_REG,398409,0,0,0,0,0.000000,complete
rexxcps-noopt,6,1,1,LOAD_REG_STRING,322037,0,0,0,0,0.000000,complete
rexxcps-noopt,7,1,1,CONCAT_REG_REG_REG,283209,0,0,0,0,0.000000,complete
rexxcps-noopt,8,1,1,CONCAT_REG_REG_STRING,283201,0,0,0,0,0.000000,complete
rexxcps-noopt,9,1,1,SETTP_REG_INT,254499,0,0,0,0,0.000000,complete
rexxcps-noopt,10,1,1,BR_ID,229130,0,0,0,0,0.000000,complete
rexxcps-noopt,11,1,1,ILT_REG_REG_INT,209663,0,0,0,0,0.000000,complete
rexxcps-noopt,12,1,1,NUMSCI_INT_INT_INT,204839,0,0,0,0,0.000000,complete
rexxcps-noopt,13,1,1,RET_REG,187425,0,0,0,0,0.000000,complete
rexxcps-noopt,14,1,1,BRTPANDT_ID_REG_INT,187065,0,0,0,0,0.000000,complete
rexxcps-noopt,15,1,1,STRLEN_REG_REG,184107,0,0,0,0,0.000000,complete
rexxcps-noopt,16,1,1,DCOPY_REG_REG,166800,0,0,0,0,0.000000,complete
rexxcps-noopt,17,1,1,REQ_REG_REG_STRING,166265,0,0,0,0,0.000000,complete
rexxcps-noopt,18,1,1,SETTPCALL_REG_FUNC_REG_REG_INT,152821,0,0,0,0,0.000000,complete
rexxcps-noopt,19,1,1,DTOS_REG,150000,0,0,0,0,0.000000,complete
rexxcps-noopt,19,1,1,STEMGET_REG_REG_REG,150000,0,0,0,0,0.000000,complete
rexxcps-noopt,21,1,1,ISUB_REG_REG_REG,135425,0,0,0,0,0.000000,complete
rexxcps-noopt,22,1,1,SWAP_REG_REG,119826,0,0,0,0,0.000000,complete
rexxcps-noopt,23,1,1,BRTF_ID_ID_REG,102832,0,0,0,0,0.000000,complete
rexxcps-noopt,24,1,1,STOD_REG,99606,0,0,0,0,0.000000,complete
rexxcps-noopt,25,1,1,IEQ_REG_REG_INT,94504,0,0,0,0,0.000000,complete
rexxcps-noopt,26,1,1,SETSTRPOS_REG_REG,85246,0,0,0,0,0.000000,complete
rexxcps-noopt,26,1,1,SUBSTRING_REG_REG_REG,85246,0,0,0,0,0.000000,complete
rexxcps-noopt,28,1,1,ISUB_REG_REG_INT,84406,0,0,0,0,0.000000,complete
rexxcps-noopt,29,1,1,DADD_REG_REG_REG,84000,0,0,0,0,0.000000,complete
rexxcps-noopt,29,1,1,DGT_REG_REG_REG,84000,0,0,0,0,0.000000,complete
rexxcps-noopt,29,1,1,PARSEWORDS3_REG_REG_REG_REG,84000,0,0,0,0,0.000000,complete
rexxcps-noopt,32,1,1,STEMSET_REG_REG_REG,82800,0,0,0,0,0.000000,complete
rexxcps-noopt,33,1,1,BRT_ID_REG,75898,0,0,0,0,0.000000,complete
rexxcps-noopt,34,1,1,STRUPPER_REG_REG,68616,0,0,0,0,0.000000,complete
rexxcps-noopt,35,1,1,IEQ_REG_REG_REG,68024,0,0,0,0,0.000000,complete
rexxcps-noopt,36,1,1,INE_REG_REG_INT,59902,0,0,0,0,0.000000,complete
rexxcps-noopt,37,1,1,ICOPY_REG_REG,57972,0,0,0,0,0.000000,complete
rexxcps-noopt,38,1,1,NULLN_REG_REG_REG,56802,0,0,0,0,0.000000,complete
rexxcps-noopt,39,1,1,BNE_ID_REG_INT,52250,0,0,0,0,0.000000,complete
rexxcps-noopt,40,1,1,BGE_ID_REG_INT,51818,0,0,0,0,0.000000,complete
rexxcps-noopt,41,1,1,IGT_REG_REG_INT,51212,0,0,0,0,0.000000,complete
rexxcps-noopt,42,1,1,NOT_REG_REG,50832,0,0,0,0,0.000000,complete
rexxcps-noopt,43,1,1,GETANDTP_REG_REG_INT,50824,0,0,0,0,0.000000,complete
rexxcps-noopt,44,1,1,BGE_ID_REG_REG,50800,0,0,0,0,0.000000,complete
rexxcps-noopt,44,1,1,BLE_ID_REG_INT,50800,0,0,0,0,0.000000,complete
rexxcps-noopt,46,1,1,DLT_REG_REG_DECIMAL,50400,0,0,0,0,0.000000,complete
rexxcps-noopt,47,1,1,BCF_ID_REG,35200,0,0,0,0,0.000000,complete
rexxcps-noopt,48,1,1,ILT_REG_REG_REG,34840,0,0,0,0,0.000000,complete
rexxcps-noopt,49,1,1,CALL_REG_FUNC_REG,34604,0,0,0,0,0.000000,complete
rexxcps-noopt,50,1,1,FNDNBLNK_REG_REG_REG,34433,0,0,0,0,0.000000,complete
rexxcps-noopt,51,1,1,REQ_REG_REG_REG,34119,0,0,0,0,0.000000,complete
rexxcps-noopt,52,1,1,IADD_REG_REG_INT,34038,0,0,0,0,0.000000,complete
rexxcps-noopt,53,1,1,CONCAT_REG_STRING_REG,33602,0,0,0,0,0.000000,complete
rexxcps-noopt,54,1,1,FNDBLNK_REG_REG_REG,33601,0,0,0,0,0.000000,complete
rexxcps-noopt,54,1,1,RNE_REG_REG_STRING,33601,0,0,0,0,0.000000,complete
rexxcps-noopt,56,1,1,ILT_REG_INT_REG,33600,0,0,0,0,0.000000,complete
rexxcps-noopt,56,1,1,DEQ_REG_REG_REG,33600,0,0,0,0,0.000000,complete
rexxcps-noopt,56,1,1,DLT_REG_REG_REG,33600,0,0,0,0,0.000000,complete
rexxcps-noopt,56,1,1,CNOP,33600,0,0,0,0,0.000000,complete
rexxcps-noopt,60,1,1,DMULT_REG_REG_REG,32400,0,0,0,0,0.000000,complete
rexxcps-noopt,61,1,1,IGT_REG_REG_REG,24862,0,0,0,0,0.000000,complete
rexxcps-noopt,62,1,1,SEQ_REG_REG_STRING,21218,0,0,0,0,0.000000,complete
rexxcps-noopt,63,1,1,RET,17616,0,0,0,0,0.000000,complete
rexxcps-noopt,64,1,1,INC_REG,17101,0,0,0,0,0.000000,complete
