rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,278800,1,1,7,candidate,"BCF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2) | COPY_REG_REG(r2,r5) | UNLINK_REG(r2)","c1=label@81;r1=R7;r2=R6;r3=R9;r4=R4;c2=int:0;r5=R10","objectarrayappend",62
2,278800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1) | BR_ID(c2)","r1=R6;r2=R10;r3=R4;c1=int:1;c2=label@62","objectarrayappend",70
3,278800,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | COPY_REG_REG(r1,r4) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c2)","r1=R6;r2=R9;r3=R4;c1=int:0;r4=R10;c2=int:1","objectarrayappend",65
4,95560,1,1,6,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | ILT_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R9;c1=int:0;r3=R3;r4=R1;c2=label@39","objectarrayappend",22
5,95560,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | INSATTRS1_REG_REG_REG(r3,r1,r4) | ICOPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r4)","r1=R2;r2=R3;c1=int:1;r3=R9;r4=R1;r5=R4;r6=R7","objectarrayappend",48
6,95560,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | BCF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r5,c2) | COPY_REG_REG(r3,r6)","r1=R7;r2=R1;c1=label@81;r3=R6;r4=R9;r5=R4;c2=int:0;r6=R10","objectarrayappend",59
7,95560,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BCF_ID_REG(c1,r3) | MINLINKATTR1_REG_REG_REG_INT(r5,r6,r1,c2)","r1=R4;r2=R2;r3=R7;r4=R1;c1=label@81;r5=R6;r6=R9;c2=int:0","objectarrayappend",56
8,95560,1,1,6,candidate,"INSATTRS1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r2) | ICOPY_REG_REG(r5,r3) | BCF_ID_REG(c1,r5)","r1=R9;r2=R2;r3=R1;r4=R4;r5=R7;c1=label@81","objectarrayappend",52
9,54630,4,1,6,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | ISETATTR1_REG_INT_REG(r1,c4,r2)","r1=R6;c1=int:2;c2=string@8;r2=R8;c3=int:0;c4=int:1","benchmark_awfy_storage_opt",71
10,54630,4,1,6,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | COPY_REG_REG(r3,r1)","r1=R6;c1=string@8;r2=R8;c2=int:0;c3=int:1;r3=R5","benchmark_awfy_storage_opt",74
11,54610,2,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | SETATTRS_REG_INT(r4,c2)","r1=R0;r2=R1;c1=int:1;r3=R10;r4=R11;c2=int:3","benchmark_awfy_storage_opt",257
12,54610,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | SETATTRS_REG_INT(r3,c2) | SETOBJTYPE_REG_STRING(r3,c3) | LOAD_REG_INT(r4,c4)","r1=R10;c1=int:1;r2=R0;r3=R11;c2=int:3;c3=string@9;r4=R1;c4=int:0","benchmark_awfy_storage_opt",263
13,54610,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R1;r2=R10;c1=int:1;r3=R0","benchmark_awfy_storage_opt",253
14,54610,2,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R1;r2=R10;c1=int:1;r3=R0;r4=R11;c2=int:3;c3=string@9","benchmark_awfy_storage_opt",261
15,54600,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2) | IADD_REG_REG_INT(r3,r2,c2)","r1=R23;c1=int:18;c2=int:1;r2=R5;r3=R4","benchmark_awfy_storage_opt",376
16,54600,1,1,7,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_INT(r2,c3) | SETTP_REG_INT(r2,c4) | BR_ID(c5)","c1=label@16;r1=R11;c2=int:256;r2=R1;c3=int:1;c4=int:0;c5=label@22","objectarrayappend",4
17,54600,2,1,11,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SWAPSETTP_REG_REG_REG_INT(r4,r5,r1,c2) | SETTPCALL_REG_FUNC_REG_REG_INT(r6,c3,r3,r7,c4)","r1=R20;r2=R2;r3=R18;c1=int:3;r4=R19;r5=R15;c2=int:768;r6=R14;c3=func@17624;r7=R21;c4=int:0","benchmark_awfy_storage_opt",315
18,54600,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R10;c1=int:1;r2=R5;r3=R1;r4=R6;r5=R24;c2=label@484","benchmark_awfy_storage_opt",405
19,54600,2,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c2) | SWAPSETTP_REG_REG_REG_INT(r6,r1,r3,c3)","r1=R15;r2=R8;c1=int:2;r3=R20;r4=R2;r5=R18;c2=int:3;r6=R19;c3=int:768","benchmark_awfy_storage_opt",311
