rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,10300000,70,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21;r7=R28;r8=R19","rxjson",1169
2,6110000,14,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R18;r2=R27;r3=R43;c1=label@1572;r4=R19;r5=R42;r6=R17;c2=int:32","rxjson",1509
3,3880000,2,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@11873;r1=R26;r2=R27;r3=R18;r4=R103;r5=R28;c2=int:34;c3=label@11237","rxjson",11211
4,2235000,13,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r3) | BRF_ID_REG(c1,r5)","r1=R39;r2=R0;r3=R40;r4=R5;r5=R37;r6=R15;c1=label@1411","rxjson",1342
5,2230000,12,1,7,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IEQ_REG_REG_INT(r4,r1,c3)","r1=R19;r2=R42;r3=R27;r4=R17;c1=int:32;c2=label@1531;c3=int:9","rxjson",1516
6,2230000,12,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@1572;r1=R18;r2=R19;r3=R42;r4=R27;r5=R17;c2=int:32;c3=label@1531","rxjson",1513
7,2205000,15,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R20;c1=int:256;r2=R30;r3=R21;r4=R31","rxjson",1254
8,2205000,15,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SETTP_REG_INT(r5,c1)","r1=R29;r2=R18;r3=R20;c1=int:256;r4=R30;r5=R21","rxjson",1251
9,2125000,11,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1) | IEQ_REG_REG_INT(r3,r2,c4)","c1=label@1531;r1=R17;r2=R19;c2=int:9;c3=label@1542;r3=R16;c4=int:10","rxjson",1524
10,2125000,11,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r5,r6,r4)","r1=R43;r2=R28;r3=R18;r4=R27;c1=label@1572;r5=R19;r6=R42","rxjson",1506
11,2125000,11,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRT_ID_REG(c4,r1)","r1=R17;r2=R19;c1=int:32;c2=label@1531;c3=int:9;c4=label@1542","rxjson",1520
12,2125000,11,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r2,c3) | BRTF_ID_ID_REG(c4,c5,r3)","r1=R17;r2=R19;c1=int:9;c2=label@1542;r3=R16;c3=int:10;c4=label@1556;c5=label@1548","rxjson",1527
13,1845000,76,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R9;r2=R13;r3=R15;r4=R16","rxjson",1445
