rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8294876,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c1,r2)","c1=label@340;r1=R19;r2=R20;r3=R8;c2=int:0","benchmark_awfy_mandelbrot_noopt",284
2,8294876,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r4,r5,c2)","r1=R19;r2=R17;r3=R18;c1=label@340;r4=R20;r5=R8;c2=int:0","benchmark_awfy_mandelbrot_noopt",280
3,8195047,1,1,7,candidate,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4) | FADD_REG_REG_REG(r5,r2,r6)","c1=label@340;r1=R20;r2=R21;r3=R13;r4=R12;r5=R16;r6=R9","benchmark_awfy_mandelbrot_noopt",291
4,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R21;r2=R13;r3=R12;c1=float@19856;c2=label@336","benchmark_awfy_mandelbrot_noopt",322
5,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1) | FMULT_REG_REG_REG(r2,r2,r4)","r1=R16;r2=R21;r3=R9;c1=float@12040;r4=R11","benchmark_awfy_mandelbrot_noopt",298
6,8195047,1,1,6,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5) | FMULT_REG_REG_REG(r6,r1,r1)","r1=R11;r2=R21;r3=R4;r4=R13;r5=R16;r6=R12","benchmark_awfy_mandelbrot_noopt",310
7,8195047,1,1,5,candidate,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3) | FADD_REG_REG_REG(r3,r1,r4)","r1=R21;r2=R16;c1=float@12040;r3=R11;r4=R4","benchmark_awfy_mandelbrot_noopt",302
8,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3) | FMULT_REG_REG_REG(r4,r5,r5)","r1=R21;r2=R11;r3=R4;r4=R13;r5=R16","benchmark_awfy_mandelbrot_noopt",306
9,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1) | FGT_REG_REG_FLOAT(r3,r3,c1)","r1=R12;r2=R11;r3=R21;r4=R13;c1=float@19856","benchmark_awfy_mandelbrot_noopt",318
10,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4) | FADD_REG_REG_REG(r5,r1,r3)","r1=R13;r2=R16;r3=R12;r4=R11;r5=R21","benchmark_awfy_mandelbrot_noopt",314
