sample_id,stream,line_number,text
timing-Sieve-sieve-l0-rxvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxvm-recorded-5,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxvm-recorded-5,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-5,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-5,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-5,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-l0-rxbvm-recorded-5,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxbvm-recorded-5,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxbvm-recorded-5,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-lto-rxvm-recorded-6,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-lto-rxvm-recorded-6,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-l0-rxbvm-recorded-6,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
