sample_id,stream,line_number,text
timing-Sieve-sieve-rxbvm-e4-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-e4-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxbvm-poc-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-poc-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-e4-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-e4-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-poc-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-poc-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxbvm-e4-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-e4-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxbvm-poc-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-poc-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-e4-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-e4-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-poc-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-poc-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-poc-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-poc-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-e4-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxtvm-e4-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxbvm-poc-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-poc-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxbvm-e4-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-rxbvm-e4-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-rxtvm-e4-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
