cell,procedure,null,endlife,copies,unlink,reference_ops
canonical-noopt,main(),17,1,47,17,0
canonical-noopt,cps_subroutine(),8,0,8,6,0
canonical-noopt,fail(),0,0,0,0,0
canonical-noopt,__rxtrace_handler(),1,10,3,3,0
canonical-noopt,__rxtrace_reset_display_state(),0,0,0,0,0
canonical-opt,main(),35,3,54,17,0
canonical-opt,cps_subroutine(),8,0,8,6,0
canonical-opt,fail(),0,0,0,0,0
canonical-opt,__rxtrace_handler(),43,96,55,13,0
canonical-opt,__rxtrace_reset_display_state(),0,0,0,0,0
opaque-noopt,main(),17,1,54,18,0
opaque-noopt,cps_subroutine(),8,0,8,6,0
opaque-noopt,fail(),0,0,0,0,0
opaque-noopt,__rxtrace_handler(),1,10,3,3,0
opaque-noopt,__rxtrace_reset_display_state(),0,0,0,0,0
opaque-opt,main(),35,3,72,18,0
opaque-opt,cps_subroutine(),8,0,8,6,0
opaque-opt,__rxtrace_handler(),43,96,55,13,0
opaque-opt,__rxtrace_reset_display_state(),0,0,0,0,0
