comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.200898
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.876128
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.363161
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.397322
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.245154
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.583010
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.001531
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.495074
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.751685
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.785648
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,2.867729
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.364921
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.260465
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.169511
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.256036
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.166628
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.774477
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.893864
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.699701
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.807561
