entry,section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
sieve-noopt,census,call_path,direct_bytecode,,50,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,direct_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,dynamic_bytecode,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,dynamic_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,external_root,,1,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,signal_bytecode,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_path,signal_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,arity,1,,1,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,arity,0,,50,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,callable_kind,procedure,,51,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,callable_kind,method,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,callable_kind,factory,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,callable_kind,native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,callable_kind,unknown,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,frame_disposition,fresh,,2,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,frame_disposition,reused,,49,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,frame_disposition,no_child_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,frame_disposition,none_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_outcome,success,,51,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_outcome,unresolved,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_outcome,frame_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,census,call_outcome,invalid,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,void,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,ret_reg_move_local,,50,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,ret_reg_copy_nonlocal,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,value_ignored,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,immediate,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,return,placement,terminal_external,,1,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcmethodsel,attempt,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcmethodsel,success,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcmethodsel,failure,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcfprocsel,attempt,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcfprocsel,success,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,dynamic,srcfprocsel,failure,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
