workload,control_sha256,candidate_sha256,identical,control_bytes,candidate_bytes,control_instructions,candidate_instructions
sieve,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,yes,9774,9774,75,75
permute,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d,yes,29684,29684,207,207
bounce,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e,yes,45362,45362,365,365
richards,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9,yes,256519,256519,1823,1823
towers,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e,yes,81002,81002,558,558
base64_v2,2f169ed0f92a20d8c1590e8c7108216deb7dbcfe77a55ff560df6c3abc750cff,2f169ed0f92a20d8c1590e8c7108216deb7dbcfe77a55ff560df6c3abc750cff,yes,103336,103336,662,662
rexxcps,4bbba440b22c03a1257f310072181f919dfd60585cae50df2f1c4035b9adfcc2,4bbba440b22c03a1257f310072181f919dfd60585cae50df2f1c4035b9adfcc2,yes,212576,212576,1392,1392
json_parse,6881d27aa7aa993c5575752358986c0f7de66a0066f869acaf4fee8022d76945,6881d27aa7aa993c5575752358986c0f7de66a0066f869acaf4fee8022d76945,yes,11339,11339,81,81
json_query,b1287ca0635b4a3642a788f75c60f14463c864c485a35a77874b32573770ee03,b1287ca0635b4a3642a788f75c60f14463c864c485a35a77874b32573770ee03,yes,11420,11420,80,80
evidence_runner,9e810306c955635380cad3bf65c6cfe0269c7487ceae9585d25069dd7c1d8c3a,9e810306c955635380cad3bf65c6cfe0269c7487ceae9585d25069dd7c1d8c3a,yes,2421428,2421428,17493,17493
lifetime_regression,ff1b4495ec7c71819bb11e99198379093396b687d6a5c08d94e68aa5b0ded587,50c5b65356bdb0ca781efaa42d6aaab24e1a13e2680bc3542dd8e2cfdd61ae5a,no,17476,17488,106,106
awfy_deltablue,978d56cdae69feebba826c0ee1235f50bc4298f12c0e72a72444e3486aeeb2b2,41f4e84f2851db87656f8bd0783241f3fb1a1973191c6e61087f541e0a7b2f4e,no,1011990,1011990,6656,6656
