rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,758715,107,9,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R42;r2=R43;r3=R44;r4=R45","benchmark_rexxcps_levelb_noopt",591
2,266000,8,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@257;r1=R44;r2=R33;r3=R39;r4=R19;r5=R43;c2=int:44;c3=label@222","parseExec",206
3,266000,8,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R44;r2=R19;r3=R40;c1=label@257;r4=R33;r5=R39;r6=R43;c2=int:44","parseExec",202
4,215600,14,1,6,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R43;r2=R33;c1=int:48;c2=label@233;c3=int:57;c4=label@239","parseExec",222
5,142800,8,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3) | IADD_REG_REG_INT(r4,r4,c2) | BR_ID(c3)","r1=R43;r2=R6;c1=int:10;r3=R34;r4=R19;c2=int:1;c3=label@202","parseExec",243
6,137200,9,1,7,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | BR_ID(c3)","r1=R33;r2=R39;r3=R19;r4=R43;c1=int:44;c2=label@222;c3=label@257","parseExec",209
7,129400,2,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IMULT_REG_REG_INT(r5,r6,c2) | IADD_REG_REG_REG(r5,r5,r2)","c1=label@218;r1=R11;r2=R4;r3=R6;r4=R9;r5=R12;r6=R5;c2=int:31","stem",187
8,129400,2,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IMOD_REG_REG_REG(r1,r1,r3) | UNLINK_REG(r3)","r1=R12;r2=R4;r3=R13;r4=R8;c1=int:7","stem",198
9,129400,2,1,9,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2) | IMULT_REG_REG_INT(r6,r7,c2)","r1=R11;r2=R9;r3=R10;c1=label@218;r4=R4;r5=R6;r6=R12;r7=R5;c2=int:31","stem",183
10,129400,2,1,5,over_3_symbols,"IMOD_REG_REG_REG(r1,r1,r2) | UNLINK_REG(r2) | ICOPY_REG_REG(r3,r1) | BCTP_ID_REG(c1,r4)","r1=R12;r2=R13;r3=R5;c1=label@183;r4=R9","stem",206
11,129400,2,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r1,r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IMOD_REG_REG_REG(r1,r1,r4)","r1=R12;r2=R5;c1=int:31;r3=R4;r4=R13;r5=R8;c2=int:7","stem",194
12,129400,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_REG(r3,r3,r1) | UNLINK_REG(r1) | ICOPY_REG_REG(r4,r3)","r1=R13;r2=R8;c1=int:7;r3=R12;r4=R5","stem",202
13,129400,2,1,9,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IMULT_REG_REG_INT(r4,r5,c1) | IADD_REG_REG_REG(r4,r4,r1) | LINKATTR1_REG_REG_INT(r6,r7,c2)","r1=R4;r2=R6;r3=R9;r4=R12;r5=R5;c1=int:31;r6=R13;r7=R8;c2=int:7","stem",190
14,128232,30,3,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | SCOPY_REG_REG(r4,r5)","r1=R6;r2=R7;r3=R9;r4=R10;r5=R30","benchmark_rexxcps_levelb_noopt",2404
15,123200,8,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ILT_REG_REG_REG(r4,r2,r5) | BRF_ID_REG(c2,r4)","r1=R37;r2=R19;r3=R6;c1=int:0;r4=R44;r5=R40;c2=label@257","parseExec",196
16,123200,8,1,6,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r4) | BRF_ID_REG(c2,r1)","r1=R44;r2=R19;r3=R37;c1=label@268;r4=R40;c2=label@274","parseExec",257
17,123200,8,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | STRCHAR_REG_REG_REG(r5,r6,r3)","r1=R6;c1=int:0;r2=R44;r3=R19;r4=R40;c2=label@257;r5=R33;r6=R39","parseExec",199
18,122498,53,15,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:9;c2=int:0;c3=int:1","benchmark_rexxcps_levelb_noopt",0
19,119097,49,13,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","_address",5605
20,91000,2,1,8,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ISUB_REG_REG_INT(r4,r2,c2) | STRCHAR_REG_REG_REG(r5,r6,r4)","r1=R110;r2=R116;r3=R118;c1=label@4359;r4=R114;c2=int:1;r5=R115;r6=R119","parseExec",4329
21,87232,11,2,6,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3) | BR_ID(c1)","r1=R18;r2=R13;r3=R17;r4=R20;r5=R21;c1=label@5535","trace",5500
