rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,930899,151,9,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R42;r2=R43;r3=R44","benchmark_rexxcps_levelb_noopt",591
18,129400,2,1,5,over_3_symbols,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3) | BCTP_ID_REG(c1,r4)","r1=R13;r2=R5;r3=R12;c1=label@183;r4=R9","stem",210
19,128239,31,4,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R7;r2=R9;r3=R10;r4=R30","benchmark_rexxcps_levelb_noopt",2406
20,124600,3,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6)","r1=R93;r2=R4;r3=R95;r4=R6;r5=R102;r6=R7","parseExec",3632
21,123200,8,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@268;r1=R44;r2=R19;r3=R40;c2=label@274","parseExec",261
22,123200,8,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ILT_REG_REG_REG(r4,r2,r5)","r1=R37;r2=R19;r3=R6;c1=int:0;r4=R44;r5=R40","parseExec",196
23,123200,8,1,5,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r4)","r1=R44;r2=R19;r3=R37;c1=label@268;r4=R40","parseExec",257
24,123200,8,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R6;c1=int:0;r2=R44;r3=R19;r4=R40;c2=label@257","parseExec",199
25,122498,53,15,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:9;c2=int:0;c3=int:1","benchmark_rexxcps_levelb_noopt",0
26,122498,53,15,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_rexxcps_levelb_noopt",2
27,119097,49,13,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","_address",5607
28,94242,7,3,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R4;r2=R5;r3=R10;r4=R14;c1=int:63;c2=label@15239","trace",15226
29,91000,2,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2) | STRCHAR_REG_REG_REG(r4,r5,r2)","c1=label@4359;r1=R110;r2=R114;r3=R116;c2=int:1;r4=R115;r5=R119","parseExec",4333
30,91000,2,1,6,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ISUB_REG_REG_INT(r4,r2,c2)","r1=R110;r2=R116;r3=R118;c1=label@4359;r4=R114;c2=int:1","parseExec",4329
31,87232,11,2,5,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3)","r1=R18;r2=R13;r3=R17;r4=R20;r5=R21","trace",5500
32,87232,11,2,5,over_3_symbols,"SUBSTRING_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | BR_ID(c1)","r1=R17;r2=R18;r3=R20;r4=R21;c1=label@5535","trace",5503
33,86800,7,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | ILTE_REG_REG_INT(r4,r1,c2)","r1=R45;r2=R35;r3=R44;c1=string@28800;r4=R47;c2=int:0","parseExec",390
34,86800,7,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R44;c1=string@28800;r2=R47;r3=R45;c2=int:0;c3=label@408","parseExec",393
35,81200,4,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c2,r3)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R35;r5=R40;c2=label@335","parseExec",321
36,81200,4,1,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | STRLEN_REG_REG(r1,r2)","r1=R40;r2=R39;r3=R126","parseExec",156
37,81200,4,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | STRLEN_REG_REG(r3,r1) | IEQ_REG_REG_REG(r4,r5,r3)","r1=R39;r2=R126;r3=R40;r4=R43;r5=R19","parseExec",158
38,81200,4,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R40;r2=R39;r3=R43;r4=R19;c1=label@179","parseExec",161
39,74200,1,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | STRCHAR_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R114;r2=R112;c1=int:1;r3=R115;r4=R119;r5=R108;c2=int:32","parseExec",4385
40,65076,71,5,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R31;c1=int:2;r2=R24;c2=int:256;r3=R32","benchmark_rexxcps_levelb_noopt",217
41,64400,4,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3)","c1=label@734;r1=R47;r2=R46;r3=R45","parseExec",503
42,61823,7,3,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R22;c1=int:0;r2=R21;c2=label@15273","_address",15265
43,61602,5,2,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r4,r1) | BRF_ID_REG(c1,r1)","r1=R60;r2=R7;r3=R39;r4=R31;c1=label@1137","_typedformat",1123
44,61601,5,2,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@146;r1=R13;r2=R22;r3=R8;c2=label@151","verify",139
45,61600,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_INT(r3,r4,c3)","c1=label@5157;r1=R5;r2=R12;c2=int:1;r3=R56;r4=R128;c3=int:9","parseExec",2040
46,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ICOPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c2)","r1=R19;c1=int:1;r2=R37;r3=R35;c2=int:0","parseExec",274
47,61600,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R12;c1=int:1;r2=R56;r3=R128;c2=int:9;c3=label@2092","parseExec",2043
48,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_INT(r2,r3,c1) | BRT_ID_REG(c2,r2)","r1=R19;c1=int:1;r2=R47;r3=R6;c2=label@466","parseExec",451
49,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_REG(r2,r4,r2)","r1=R19;c1=int:1;r2=R44;r3=R40;r4=R35","parseExec",366
50,61600,4,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | IGTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R19;r2=R35;r3=R47;r4=R40;c1=label@437","parseExec",423
51,61600,4,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1)","r1=R46;r2=R19;r3=R45;r4=R35;r5=R44;c1=string@28800","parseExec",387
52,61600,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R16;r2=R1;r3=R17;r4=R2;c1=label@5152;r5=R5","parseExec",4531
53,61600,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R6;r2=R16;r3=R7;r4=R17;r5=R15;r6=R0","parseExec",4522
54,61600,4,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_REG(r1,r2,r3)","r1=R44;r2=R19;c1=int:0;c2=label@190;r3=R40","parseExec",179
55,61600,4,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r4,r3,r1)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R6;c2=int:10","parseExec",239
56,61600,4,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R38;r2=R7;r3=R47;r4=R6;c1=int:1;c2=label@486","parseExec",472
57,58922,6,3,6,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3)","c1=label@13577;r1=R26;r2=R42;r3=R29;c2=int:0;r4=R18","_address",13549
58,58922,6,3,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r4,r2,c2)","r1=R26;r2=R29;r3=R27;c1=label@13577;r4=R42;c2=int:0","_address",13545
59,52353,7,2,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R10;r2=R16;c1=int:3;r3=R14;c2=int:0;r4=R17","_address",7906
60,51800,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | NULL_REG(r4)","r1=R17;r2=R2;c1=label@5152;r3=R5;r4=R110","parseExec",4534
61,51800,3,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r3,r4) | IGTE_REG_REG_REG(r5,r3,r6)","r1=R17;r2=R45;r3=R19;r4=R54;r5=R49;r6=R50","parseExec",1033
62,49485,4,3,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R20;r2=R9;c1=int:76;c2=label@211;c3=int:66","strip",200
63,49122,5,2,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | REQ_REG_REG_REG(r4,r1,r5) | UNLINK_REG(r1)","r1=R18;r2=R42;r3=R29;r4=R17;r5=R19","_address",13556
64,49122,5,2,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | REQ_REG_REG_REG(r4,r3,r5)","r1=R42;r2=R29;c1=int:0;r3=R18;r4=R17;r5=R19","_address",13552
65,49122,5,2,4,over_3_symbols,"REQ_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1)","r1=R17;r2=R18;r3=R19;c1=label@13574","_address",13560
66,49059,59,3,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c2)","r1=R0;c1=int:256;r2=R56;r3=R57;c2=int:768","benchmark_rexxcps_levelb_noopt",658
67,47945,12,10,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@8763;r1=R84;c3=int:256","_address",8749
68,44068,5,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","c1=label@340;r1=R13;r2=R11;r3=R20;c2=int:5;r4=R1;c3=int:0","stem",244
69,42200,6,2,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R29;r2=R0;r3=R15;r4=R3;r5=R24","trace",15782
70,42000,4,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@593;r1=R56;r2=R45;c2=int:48;c3=label@598","parseExec",586
71,42000,4,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r3,c3)","r1=R56;r2=R44;c1=int:0;c2=label@593;r3=R45;c3=int:48","parseExec",582
72,40600,5,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | MINATTRS_REG_REG_INT(r2,r1,c2) | LINKATTR1_REG_REG_REG(r3,r2,r1)","r1=R21;c1=int:1;r2=R22;c2=int:0;r3=R83","parseExec",3202
73,39092,6,3,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R17;r2=R10;r3=R14;r4=R15","_address",7914
74,39092,6,3,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R10;r2=R14;c1=int:0;r3=R17;r4=R15","_address",7910
75,36400,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R116;r2=R113;r3=R110;r4=R118;c1=label@4359","parseExec",4326
76,35486,5,4,6,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@37;r1=R15;c2=int:256;r2=R1;c3=string@312160;c4=int:0","left",25
77,35486,5,4,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2) | BR_ID(c3)","r1=R1;c1=string@312160;c2=int:0;c3=label@52","left",29
78,35000,25,2,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R75;r2=R76;c1=int:1;r3=R51","benchmark_rexxcps_levelb_noopt",1415
79,30942,31,3,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R59;r2=R0;r3=R60;c1=int:768;r4=R61","benchmark_rexxcps_levelb_noopt",955
80,30818,4,3,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R33;c1=int:1;r2=R32;r3=R3;c2=label@438","benchmark_rexxcps_levelb_noopt",381
81,30801,4,2,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BR_ID(c3)","c1=label@119;r1=R13;r2=R11;c2=int:0;c3=label@122","verify",111
82,30800,3,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@503;r1=R47;r2=R6;c2=int:5;c3=label@734","parseExec",496
83,30800,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@3195;r1=R56;r2=R55;r3=R18;c2=string@28800;c3=label@2318","parseExec",2096
84,30800,4,1,4,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2) | MINATTRS_REG_REG_INT(r2,r1,c1)","r1=R110;r2=R24;c1=int:0;c2=int:1","parseExec",4248
85,30800,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RNE_REG_REG_STRING(r3,r4,c3)","r1=R56;r2=R6;c1=int:1;c2=label@3195;r3=R55;r4=R18;c3=string@28800","parseExec",2092
86,30800,3,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3)","r1=R47;r2=R6;c1=int:3;c2=label@503;c3=int:5","parseExec",492
87,30800,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R21;c1=int:0;r2=R18;r3=R7;r4=R4;r5=R8","parseExec",3184
88,30800,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R18;r2=R7;r3=R4;r4=R8;c1=label@4519","parseExec",3187
89,30603,6,4,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3)","r1=R59;r2=R21;c1=int:1;r3=R58;r4=R60;c2=label@1278","_typedformat",1171
90,30602,5,3,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ISUB_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2)","r1=R60;c1=int:0;r2=R59;r3=R21;c2=int:1;r4=R58","_typedformat",1168
91,29200,3,2,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R82;r2=R22;r3=R55;r4=R38","parseExec",2939
92,28883,3,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R12;r2=R11;c1=label@319;r3=R10","stem",263
93,28485,3,2,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@211;r1=R20;r2=R9;c2=int:66;c3=label@227","strip",204
94,28246,5,5,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@15;r1=R62;c2=int:512;r2=R28;c3=label@18","_typedformat",6
95,28246,5,5,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | SCOPY_REG_REG(r2,r1)","c1=int:2;c2=label@15;r1=R62;c3=int:512;r2=R28","_typedformat",4
96,28000,20,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | SCOPY_REG_REG(r3,r2)","r1=R76;c1=int:1;r2=R75;r3=R51","benchmark_rexxcps_levelb_noopt",1412
97,26837,19,4,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","_address",5609
98,26184,3,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R11;c1=label@319;r2=R10;r3=R14;r4=R20;c2=int:9","stem",265
99,25401,6,3,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4)","r1=R10;r2=R13;r3=R3;r4=R12","_address",7867
100,25200,3,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c2)","r1=R105;r2=R109;c1=int:1;r3=R106;r4=R110;r5=R108;c2=string@28800","parseExec",4206
101,25200,3,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r5,r6)","r1=R107;r2=R111;r3=R105;r4=R109;c1=int:1;r5=R106;r6=R110","parseExec",4203
102,23944,28,3,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R60;c1=int:768;r2=R61;r3=R56;c2=func@34952;r4=R58","benchmark_rexxcps_levelb_noopt",958
103,23630,16,3,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R16;c1=int:18;c2=int:0","_address",5675
104,22607,7,4,3,candidate,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2)","c1=int:2;r1=R17;r2=R18","benchmark_rexxcps_levelb_noopt",8
105,21200,2,2,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R3;r2=R24;r3=R18;c1=string@312160;r4=R16;c2=int:0","trace",15787
106,21000,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1)","c1=label@3598;r1=R91;r2=R6;c2=int:4;c3=label@3609","parseExec",3591
107,21000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R4;c1=int:0;r2=R5;r3=R15;r4=R6;r5=R16","parseExec",4516
108,21000,1,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r4)","r1=R18;c1=string@28800;r2=R4;c2=int:0;r3=R5;r4=R15","parseExec",4513
109,20019,7,4,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R19;c1=string@1760;r2=R12;c2=int:100;r3=R3","benchmark_rexxcps_levelb_noopt",26
110,19842,2,2,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | GETANDTP_REG_REG_INT(r3,r4,c1)","r1=R16;r2=R17;r3=R2;r4=R0;c1=int:256","strip",94
111,19607,3,2,4,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r1,r2,r3)","r1=R32;r2=R35;r3=R4;c1=int:0","_address",15409
112,19600,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1965;r1=R49;r2=R2;c2=string@2245136;c3=label@1971","parseExec",1958
113,19600,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRTF_ID_ID_REG(c3,c4,r2)","c1=label@3609;r1=R91;r2=R90;r3=R6;c2=int:5;c3=label@3615;c4=label@4307","parseExec",3598
114,19600,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LOAD_REG_STRING(r4,c1)","r1=R10;r2=R112;r3=R8;r4=R18;c1=string@28800","parseExec",4507
