comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.972219
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.805728
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.229539
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.613382
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.102851
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.549258
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.510464
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.509103
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.861028
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.840395
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,3.506977
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.671633
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.561905
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.362932
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.553808
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.357702
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.743638
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.864964
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.734720
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.854591
