rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8294876,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c1,r2)","c1=label@389;r1=R19;r2=R20;r3=R8;c2=int:0","benchmark_awfy_mandelbrot_noopt",333
2,8294876,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r4,r5,c2)","r1=R19;r2=R17;r3=R18;c1=label@389;r4=R20;r5=R8;c2=int:0","benchmark_awfy_mandelbrot_noopt",329
3,8195047,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4) | FADD_REG_REG_REG(r5,r2,r6)","c1=label@389;r1=R20;r2=R21;r3=R13;r4=R12;r5=R16;r6=R9","benchmark_awfy_mandelbrot_noopt",340
4,8195047,1,1,5,over_3_symbols,"FADD_REG_REG_REG(r1,r2,r3) | FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R21;r2=R13;r3=R12;c1=float@20504;c2=label@385","benchmark_awfy_mandelbrot_noopt",371
5,8195047,1,1,5,over_3_symbols,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1) | FMULT_REG_REG_REG(r2,r2,r4)","r1=R16;r2=R21;r3=R9;c1=float@12480;r4=R11","benchmark_awfy_mandelbrot_noopt",347
6,8195047,1,1,6,over_3_symbols,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5) | FMULT_REG_REG_REG(r6,r1,r1)","r1=R11;r2=R21;r3=R4;r4=R13;r5=R16;r6=R12","benchmark_awfy_mandelbrot_noopt",359
7,8195047,1,1,5,over_3_symbols,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3) | FADD_REG_REG_REG(r3,r1,r4)","r1=R21;r2=R16;c1=float@12480;r3=R11;r4=R4","benchmark_awfy_mandelbrot_noopt",351
8,8195047,1,1,5,over_3_symbols,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3) | FMULT_REG_REG_REG(r4,r5,r5)","r1=R21;r2=R11;r3=R4;r4=R13;r5=R16","benchmark_awfy_mandelbrot_noopt",355
9,8195047,1,1,5,over_3_symbols,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1) | FGT_REG_REG_FLOAT(r3,r3,c1)","r1=R12;r2=R11;r3=R21;r4=R13;c1=float@20504","benchmark_awfy_mandelbrot_noopt",367
10,8195047,1,1,5,over_3_symbols,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4) | FADD_REG_REG_REG(r5,r1,r3)","r1=R13;r2=R16;r3=R12;r4=R11;r5=R21","benchmark_awfy_mandelbrot_noopt",363
11,8195047,1,1,6,over_3_symbols,"FSUB_REG_REG_REG(r1,r2,r3) | FADD_REG_REG_REG(r4,r1,r5) | FMULT_REG_REG_FLOAT(r1,r4,c1)","r1=R21;r2=R13;r3=R12;r4=R16;r5=R9;c1=float@12480","benchmark_awfy_mandelbrot_noopt",343
12,8195047,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | FSUB_REG_REG_REG(r3,r4,r5)","r1=R20;r2=R8;c1=int:0;c2=label@389;r3=R21;r4=R13;r5=R12","benchmark_awfy_mandelbrot_noopt",336
13,500000,2,1,4,over_3_symbols,"FCOPY_REG_REG(r1,r2) | LOAD_REG_FLOAT(r2,c1) | FCOPY_REG_REG(r3,r2)","r1=R13;r2=R16;c1=float@14112;r3=R11","benchmark_awfy_mandelbrot_noopt",283
14,500000,2,1,3,candidate,"LOAD_REG_FLOAT(r1,c1) | FCOPY_REG_REG(r2,r1) | LOAD_REG_FLOAT(r1,c1)","r1=R16;c1=float@14112;r2=R13","benchmark_awfy_mandelbrot_noopt",280
