rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,3425000,5,1,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R0;r2=R1;r3=R5","substr",59
2,2054008,12,5,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_base64_roundtrip_noopt",0
3,2054008,12,5,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_base64_roundtrip_noopt",2
4,2052505,9,4,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_base64_roundtrip_noopt",4
5,2051502,4,3,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@19;r1=R3;c2=int:512;r2=R1;c3=label@22","length",10
6,1711005,18,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R6;c1=int:1;r2=R4;c2=int:256;r3=R7","benchmark_base64_roundtrip_noopt",94
7,1537501,8,1,4,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1)","r1=R4;c1=int:256;r2=R10;r3=R2","benchmark_base64_roundtrip_noopt",192
8,1368502,3,3,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R3;c3=int:512","length",6
9,1368502,3,3,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | SCOPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R3;c3=int:512;r2=R1","length",8
10,1024001,4,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R10;r2=R4;r3=R2;c1=int:256;r4=R11","benchmark_base64_roundtrip_noopt",195
11,685005,13,1,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R4;c1=int:256;r2=R7;r3=R3;c2=func@5240;r4=R6","benchmark_base64_roundtrip_noopt",97
12,685001,7,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R11;c1=int:1;r2=R8;c2=int:4;r3=R25;c3=int:256","benchmark_base64_roundtrip_noopt",705
