section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,716,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,18311753,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,469638,59683610,127,41,13584,19.678206,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,2806848,35896667,12,0,8875,11.835444,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2008924,30426012,15,0,14750,10.031721,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1931001,24253366,12,0,16750,7.996546,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1266713,16028355,12,0,13375,5.284688,,,,,,,,,,,,,,
instruction,RET_REG,,49,446381,15897218,35,0,7250,5.241451,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1081653,14181532,13,0,14834,4.675775,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,922936,12322527,13,0,12959,4.062844,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,907300,11025402,12,0,10541,3.635171,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,862470,10882256,12,0,13625,3.587975,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,686059,8716503,12,0,14209,2.873907,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,595811,7650379,12,0,7417,2.522397,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,469637,7583487,16,0,1292,2.500342,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,469639,6218559,13,0,7500,2.050313,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,469639,5994612,12,0,8417,1.976476,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,469637,5891350,12,0,13833,1.942429,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,469639,5793465,12,0,14916,1.910156,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,469639,5783295,12,0,15041,1.906803,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,469639,5775635,12,0,8042,1.904277,,,,,,,,,,,,,,
instruction,MINATTRS_REG_REG_INT,,223,219184,2692679,12,0,833,0.887800,,,,,,,,,,,,,,
instruction,BR_ID,,36,200894,2411831,12,0,2042,0.795202,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,126916,1674098,13,0,3958,0.551965,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,123902,1527716,12,0,7417,0.503701,,,,,,,,,,,,,,
instruction,BTOI_REG,,225,106954,1313922,12,0,250,0.433212,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,66491,879287,13,0,1041,0.289909,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,42553,570190,13,0,375,0.187997,,,,,,,,,,,,,,
instruction,RET,,48,23257,499037,21,0,1334,0.164537,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,36395,474476,13,0,2167,0.156439,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,33721,448663,13,0,10667,0.147928,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,19308,250252,12,0,292,0.082510,,,,,,,,,,,,,,
instruction,IDIV_REG_REG_INT,,23,9999,137051,13,0,1542,0.045187,,,,,,,,,,,,,,
instruction,IAND_REG_REG_INT,,169,9999,129033,12,0,292,0.042543,,,,,,,,,,,,,,
instruction,INC_REG,,28,9309,114116,12,0,417,0.037625,,,,,,,,,,,,,,
instruction,IXOR_REG_REG_INT,,173,4992,63217,12,0,1083,0.020843,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,4657,62184,13,0,2208,0.020503,,,,,,,,,,,,,,
instruction,SAY_REG,,450,1,14000,14000,14000,14000,0.004616,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,3,11832,3944,250,11291,0.003901,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,6375,6375,6375,6375,0.002102,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,1,2584,2584,2584,2584,0.000852,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1,2083,2083,2083,2083,0.000687,,,,,,,,,,,,,,
instruction,STOI_REG,,237,1,2000,2000,2000,2000,0.000659,,,,,,,,,,,,,,
instruction,CONCAT_REG_REG_REG,,134,2,1667,833,625,1042,0.000550,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,1,1375,1375,1375,1375,0.000453,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,1,959,959,959,959,0.000316,,,,,,,,,,,,,,
instruction,MINATTRS_REG_INT,,222,1,958,958,958,958,0.000316,,,,,,,,,,,,,,
instruction,RET_INT,,50,1,625,625,625,625,0.000206,,,,,,,,,,,,,,
instruction,SETOBJTYPE_REG_STRING,,56,1,625,625,625,625,0.000206,,,,,,,,,,,,,,
instruction,SCONCAT_REG_REG_STRING,,138,2,625,312,41,584,0.000206,,,,,,,,,,,,,,
instruction,ISUB_REG_INT_REG,,19,2,333,166,0,333,0.000110,,,,,,,,,,,,,,
transition,sequential_same_frame,,0,16369545,173429885,10,0,14917,89.707482,,,,,,,,,,,,,,
transition,branch_same_frame,,1,1002931,10539702,10,0,11958,5.451714,,,,,,,,,,,,,,
transition,call_enter_frame,,2,469638,4645038,9,0,1333,2.402669,,,,,,,,,,,,,,
transition,return_leave_frame,,3,469638,4709477,10,0,4417,2.436001,,,,,,,,,,,,,,
