workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
sieve,rxvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4236992,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4232616,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,551704,7032,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxvm,opt,5,12906826,432950,7,432944,11256730,10259602,74012810,0,0,2893,2645,3,866526,248760,9144,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
bounce,rxvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83756624,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83332440,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
list,rxvm,noopt,5,48614926,4396100,48,4396053,37129414,4608302,74411,361900,76800,852445,249298,3,8872948,28433744,9936,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
list,rxvm,opt,5,28477526,572500,44,572457,15030414,4611602,76811,80800,74400,282470,224818,3,1220456,26374640,10992,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
richards,rxvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,292432,9408,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxvm,opt,5,8726851,119157,9,119149,5228903,73307574,582076729,99035,0,865839,4011486,4,738482,173540072,18384,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
base64,rxvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2681584,8352,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,610688,13104,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxvm,noopt,5,26986378,593043,25,593019,7394802,643724,22656297,541625,2017043,1085625,17643413,1891522,1572058,12791624,29520,5,5325846,3979323,1346523,200031,0,0,0,0,0,0,complete
rexxcps,rxvm,opt,5,27005618,139442,21,139422,3856986,1075824,46960697,2624,8048,1591506,69724387,3073511,1470211,266632872,29256,5,4392337,3287515,1104822,547731,0,0,0,0,0,0,complete
sieve,rxbvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4236992,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
