rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,930899,156,8,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R11;r2=R10;r3=R9","benchmark_rexxcps_levelb_opt",507
2,340200,9,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R33;r2=R39;r3=R19;r4=R43;c1=int:44;c2=label@222","parseExec",209
3,266200,9,2,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2)","r1=R15;r2=R10;r3=R6;c1=label@15245;r4=R4;r5=R5","trace",15219
4,266000,8,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2)","c1=label@257;r1=R44;r2=R33;r3=R39;r4=R19;r5=R43;c2=int:44","parseExec",206
5,215600,14,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@233;r1=R43;r2=R33;c2=int:57;c3=label@239","parseExec",226
6,215600,14,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R43;r2=R33;c1=int:48;c2=label@233;c3=int:57","parseExec",222
7,161000,9,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R43;r2=R39;r3=R46;r4=R19;r5=R45;r6=R35","parseExec",384
8,142800,8,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1) | BR_ID(c2)","r1=R6;r2=R43;r3=R34;r4=R19;c1=int:1;c2=label@202","parseExec",247
9,142800,8,1,6,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3) | IADD_REG_REG_INT(r4,r4,c2)","r1=R43;r2=R6;c1=int:10;r3=R34;r4=R19;c2=int:1","parseExec",243
10,140607,6,4,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2)","r1=R58;r2=R60;r3=R59;c1=label@1278;r4=R10;r5=R20","_typedformat",1175
11,137200,9,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | BR_ID(c3)","r1=R43;r2=R33;c1=int:44;c2=label@222;c3=label@257","parseExec",213
12,129400,2,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IMULT_REG_REG_INT(r5,r6,c2)","c1=label@218;r1=R11;r2=R4;r3=R6;r4=R9;r5=R12;r6=R5;c2=int:31","stem",187
13,129400,2,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IMOD_REG_REG_REG(r1,r1,r3)","r1=R12;r2=R4;r3=R13;r4=R8;c1=int:7","stem",198
14,129400,2,1,3,candidate,"IMOD_REG_REG_REG(r1,r1,r2) | UNLINK_REG(r2) | ICOPY_REG_REG(r3,r1)","r1=R12;r2=R13;r3=R5","stem",206
15,129400,2,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r1,r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R12;r2=R5;c1=int:31;r3=R4;r4=R13;r5=R8;c2=int:7","stem",194
16,129400,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_REG(r3,r3,r1) | UNLINK_REG(r1)","r1=R13;r2=R8;c1=int:7;r3=R12","stem",202
17,129400,2,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IMULT_REG_REG_INT(r4,r5,c1) | IADD_REG_REG_REG(r4,r4,r1)","r1=R4;r2=R6;r3=R9;r4=R12;r5=R5;c1=int:31","stem",190
