rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | UNLINKN_REG_REG(r1,r4) | ISETATTR1_REG_INT_REG(r2,c2,r3)","r1=R4;r2=R9;c1=int:2;r3=R5;r4=R3;c2=int:1","benchmark_awfy_bounce_noopt",294
2,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R5;r2=R9;c1=int:1;r3=R4;c2=int:500;c3=label@377","benchmark_awfy_bounce_noopt",328
3,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R7;r2=R9;c1=int:1;r3=R6;c2=int:0;c3=label@422","benchmark_awfy_bounce_noopt",377
4,1000000,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | IADD_REG_REG_REG(r4,r1,r3) | UNLINKN_REG_REG(r3,r1)","r1=R3;r2=R9;c1=int:1;r3=R4;c2=int:2;r4=R5","benchmark_awfy_bounce_noopt",290
5,510000,2,1,5,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r3,c2,r1)","r1=R0;r2=R9;c1=int:256;r3=R7;c2=func@10400","benchmark_awfy_bounce_noopt",206
6,500000,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c2)","r1=R9;c1=int:18;c2=int:1;r2=R0;c3=int:0;r3=R3","benchmark_awfy_bounce_noopt",281
7,500000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2) | MKREF_REG_REG(r5,r2) | UNLINK_REG(r2)","c1=label@641;r1=R12;r2=R13;r3=R0;r4=R5;c2=int:0;r5=R6","benchmark_awfy_bounce_noopt",605
8,500000,1,1,6,candidate,"IADD_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r2) | ISETATTR1_REG_INT_REG(r4,c1,r1) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R5;r2=R3;r3=R4;r4=R9;c1=int:1;c2=int:3","benchmark_awfy_bounce_noopt",298
9,500000,1,1,7,candidate,"IADD_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r2) | ISETATTR1_REG_INT_REG(r4,c1,r1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R2;r2=R4;r3=R3;r4=R9;c1=int:3;r5=R5;c2=int:1","benchmark_awfy_bounce_noopt",317
10,500000,1,1,8,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r4,r5,r2,c2) | MKREF_REG_REG(r6,r4)","r1=R12;r2=R5;r3=R11;c1=label@641;r4=R13;r5=R0;c2=int:0;r6=R6","benchmark_awfy_bounce_noopt",601
