rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | ICOPY_REG_REG(r5,r4)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1;r5=R8","benchmark_awfy_richards_opt",2841
2,106953,2,1,5,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3) | BRF_ID_REG(c2,r2)","r1=R4;r2=R7;c1=int:0;r3=R5;c2=label@3024","benchmark_awfy_richards_opt",3004
3,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R5;r2=R3;c1=int:23;c2=int:6;r3=R4;r4=R64;c3=int:1;r5=R7;c4=int:0","benchmark_awfy_richards_opt",2996
4,106605,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R2;r2=R14;c1=int:2;r3=R1;c2=int:0;c3=label@6905","benchmark_awfy_richards_opt",6749
5,106604,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2) | IGETUNLINK_REG_REG(r5,r4)","c1=label@6905;r1=R1;r2=R5;r3=R14;r4=R2;c2=int:2;r5=R3","benchmark_awfy_richards_opt",6759
6,106604,1,1,9,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r3,c3) | BRF_ID_REG(c4,r2)","r1=R3;r2=R2;r3=R4;r4=R6;r5=R5;c1=int:19;c2=int:6;c3=int:1;c4=label@6794","benchmark_awfy_richards_opt",6769
7,106604,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R1;r2=R2;c1=int:0;c2=label@6905;r3=R5;r4=R14","benchmark_awfy_richards_opt",6753
8,106604,1,1,10,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c2,c3,r1,r4,c4)","r1=R2;r2=R14;c1=int:2;r3=R3;r4=R4;r5=R6;r6=R5;c2=int:19;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",6765
9,106604,1,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R2;c1=label@6905;r2=R1;r3=R5;r4=R14;c2=int:2","benchmark_awfy_richards_opt",6757
10,92655,10,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4) | UNLINK_REG(r3)","r1=R9;r2=R13;c1=int:24;r3=R4;c2=int:2;r4=R8;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",2692
11,65790,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3) | COPY_REG_REG(r3,r1)","r1=R63;c1=int:18;c2=int:1;r2=R1;c3=int:0;r3=R3","benchmark_awfy_richards_opt",2984
