sample_id,stream,line_number,text
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,1,----- REXXCPS 2.2d -- Measuring cREXX clauses/second -----
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,2, cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g6567f0ba23f2.dirty 20260725
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,3,       System is: macOS
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,4,REXXCPS-PROVENANCE contract=canonical-default argv_count=0 initial_count=100 averaging=100
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,5,        Averaged: 400 x 100 iterations of 1000 clauses (over 1.0 s)
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,6,REXXCPS-EFFECTIVE contract=canonical-default initial_count=100 effective_count=400 averaging=100 calibrated=1
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,7,
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,8,     Performance: 40240153 cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,9,
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-warmup-1,stdout,10,PASS: RexxCPS 2.2d cREXX port
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,1,----- REXXCPS 2.2d -- Measuring cREXX clauses/second -----
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,2, cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g22dd01a5b2e9.dirty 20260726
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,3,       System is: macOS
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,4,REXXCPS-PROVENANCE contract=canonical-default argv_count=0 initial_count=100 averaging=100
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,5,        Averaged: 400 x 100 iterations of 1000 clauses (over 1.0 s)
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,6,REXXCPS-EFFECTIVE contract=canonical-default initial_count=100 effective_count=400 averaging=100 calibrated=1
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,7,
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,8,     Performance: 39096480 cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,9,
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-warmup-1,stdout,10,PASS: RexxCPS 2.2d cREXX port
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,stdout,1,----- REXXCPS 2.2d -- Measuring cREXX clauses/second -----
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,stdout,2, cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g6567f0ba23f2.dirty 20260725
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,stdout,3,       System is: macOS
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,stdout,4,REXXCPS-PROVENANCE contract=canonical-default argv_count=0 initial_count=100 averaging=100
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,stdout,5,        Averaged: 400 x 100 iterations of 1000 clauses (over 1.1 s)
