module_id,module,instruction_index,executions,shape,top_count,top_bytes,top_max_bytes,recursive_count,recursive_bytes,recursive_max_bytes,status
1,"benchmark_awfy_richards_opt",8,1,"empty",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"scalar",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"string",0,0,0,1,1,1,complete
1,"benchmark_awfy_richards_opt",8,1,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"object",1,8,8,1,8,8,complete
1,"benchmark_awfy_richards_opt",8,1,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",8,1,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"empty",0,0,0,23,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"scalar",0,0,0,5,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"object",1,224,224,1,224,224,complete
1,"benchmark_awfy_richards_opt",150,1,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",150,1,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",6630,106604,"empty",0,0,0,7203883,0,0,complete
1,"benchmark_awfy_richards_opt",6630,106604,"scalar",0,0,0,6547938,0,0,complete
1,"benchmark_awfy_richards_opt",6630,106604,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_richards_opt",6630,106604,"binary",0,0,0,0,0,0,complete
