rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,862451,51,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7","benchmark_awfy_richards_opt",2518
15,181273,15,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R7;r2=R6;r3=R1;r4=R0","benchmark_awfy_richards_opt",2968
16,178682,17,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R2;c1=int:22;r3=R3","benchmark_awfy_richards_opt",500
17,172394,7,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R9;c1=int:0;r2=R8;c2=label@4421","benchmark_awfy_richards_opt",4339
18,165076,5,1,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R17;r2=R14;c1=int:0;r3=R15","benchmark_awfy_richards_opt",4086
19,163473,15,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4)","r1=R12;r2=R5;r3=R11;c1=int:9;r4=R13","benchmark_awfy_richards_opt",644
20,153103,11,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4)","r1=R10;r2=R17;r3=R60;r4=R11","benchmark_awfy_richards_opt",883
21,153096,3,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R10;r2=R8;r3=R0;r4=R7;r5=R2","benchmark_awfy_richards_opt",3932
22,149489,12,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:0","benchmark_awfy_richards_opt",2934
23,129850,2,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | ICOPY_REG_REG(r4,r3)","r1=R1;r2=R27;r3=R14;c1=int:2;r4=R3","benchmark_awfy_richards_opt",4047
24,123922,15,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R13;r2=R12;r3=R17;r4=R11;c1=int:9","benchmark_awfy_richards_opt",875
25,121365,3,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4)","r1=R6;c1=label@4598;r2=R5;r3=R11;r4=R67","benchmark_awfy_richards_opt",4507
26,119158,9,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_opt",0
27,119158,9,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_richards_opt",4
28,119158,9,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_richards_opt",2
29,119157,8,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R60;c1=int:18;c2=int:0","benchmark_awfy_richards_opt",474
30,119157,18,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R9;c1=int:1;r2=R4;c2=int:256;r3=R10","benchmark_awfy_richards_opt",214
31,109153,11,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4)","r1=R60;c1=int:256;r2=R50;r3=R51;r4=R0","benchmark_awfy_richards_opt",2266
32,109151,9,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R50;r2=R60;r3=R53;r4=R0;r5=R44;c1=func@55688;r6=R49","benchmark_awfy_richards_opt",2334
33,106953,2,1,3,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINK_REG(r1)","r1=R5;r2=R8;c1=int:0","benchmark_awfy_richards_opt",4326
34,106953,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BTOI_REG(r3)","r1=R7;r2=R3;c1=int:1;r3=R5;r4=R6","benchmark_awfy_richards_opt",4318
35,106953,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BTOI_REG(r1) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R5;r2=R6;r3=R7;r4=R8;c1=int:0","benchmark_awfy_richards_opt",4322
36,106605,3,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R1;r2=R2","benchmark_awfy_richards_opt",9699
37,106605,1,1,4,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R1;r2=R2;c1=int:0;c2=label@9930","benchmark_awfy_richards_opt",9710
38,106605,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R15;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_opt",9706
39,106604,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2)","c1=label@9930;r1=R1;r2=R3;r3=R15;r4=R2;c2=int:2","benchmark_awfy_richards_opt",9716
40,100667,10,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LOAD_REG_INT(r5,c2)","r1=R8;r2=R1;c1=int:1;r3=R6;r4=R7;r5=R5;c2=int:0","benchmark_awfy_richards_opt",3823
41,99890,4,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2)","c1=label@4383;r1=R6;r2=R5;c2=int:0;r3=R8","benchmark_awfy_richards_opt",4372
42,98198,11,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | ICOPY_REG_REG(r4,r3)","r1=R6;r2=R1;c1=int:0;r3=R7;r4=R0","benchmark_awfy_richards_opt",2964
43,93003,5,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3)","r1=R6;r2=R5;r3=R4","benchmark_awfy_richards_opt",300
44,92655,10,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | UNLINK_REG(r2)","r1=R10;r2=R5;c1=int:1;r3=R3;r4=R9","benchmark_awfy_richards_opt",3867
45,92655,10,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETATTRS_REG_INT(r1,c3)","r1=R9;r2=R13;c1=int:24;r3=R5;c2=int:2;c3=int:6","benchmark_awfy_richards_opt",3856
46,92655,10,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r4,r1,c3)","r1=R5;r2=R13;c1=int:2;r3=R9;c2=int:6;r4=R10;c3=int:1","benchmark_awfy_richards_opt",3860
47,89239,5,1,5,over_3_symbols,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R11;c1=int:0;c2=label@2957","benchmark_awfy_richards_opt",2946
48,89036,14,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R27;r2=R13;r3=R25;r4=R11;c1=label@4282","benchmark_awfy_richards_opt",4192
49,88335,7,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4)","r1=R9;r2=R10;r3=R8;r4=R0","benchmark_awfy_richards_opt",3930
50,85904,4,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3)","r1=R7;r2=R24;r3=R18;r4=R25","benchmark_awfy_richards_opt",4254
51,83075,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3)","r1=R6;r2=R68;c1=int:1;r3=R7;r4=R5;r5=R1","benchmark_awfy_richards_opt",4433
52,81977,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R7;r3=R8;c1=label@9763;r4=R9;c2=int:1","benchmark_awfy_richards_opt",9748
53,80474,50,1,4,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2)","r1=R13;r2=R14;c1=int:0;r3=R12","benchmark_awfy_richards_opt",671
54,79750,9,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2)","r1=R9;r2=R13;c1=int:1;r3=R7;r4=R8;r5=R10;r6=R12;c2=int:22","benchmark_awfy_richards_opt",2521
55,74382,3,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R13;r2=R1;r3=R10;r4=R5;r5=R7;r6=R28","benchmark_awfy_richards_opt",4059
56,74382,3,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | RET_REG(r3)","r1=R9;r2=R7;r3=R25","benchmark_awfy_richards_opt",4284
57,70550,4,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=label@4598;r1=R5;r2=R11;r3=R67;r4=R10;r5=R68","benchmark_awfy_richards_opt",4509
58,69125,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r3,c1)","r1=R53;r2=R51;r3=R25;c1=int:0","benchmark_awfy_richards_opt",5527
59,66954,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | BR_ID(c1)","r1=R25;r2=R22;c1=label@5052","benchmark_awfy_richards_opt",5033
60,65791,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | ICOPY_REG_REG(r3,r1)","r1=R2;r2=R15;c1=int:22;r3=R1;c2=int:2","benchmark_awfy_richards_opt",9691
61,65790,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r2,c2)","r1=R9;r2=R15;c1=int:2;r3=R10;c2=int:256","benchmark_awfy_richards_opt",9891
62,65790,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R1;c1=int:0;r2=R4;r3=R67;r4=R3;r5=R68","benchmark_awfy_richards_opt",4302
63,65790,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R1;c2=int:0","benchmark_awfy_richards_opt",4298
64,65790,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | COPY_REG_REG(r2,r3)","c1=int:1;r1=R1;c2=int:0;r2=R4;r3=R67","benchmark_awfy_richards_opt",4300
65,65790,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R9;r2=R12;r3=R13;r4=R15;c1=int:2","benchmark_awfy_richards_opt",9914
66,65790,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LOAD_REG_INT(r4,c1)","r1=R13;r2=R9;r3=R15;c1=int:2;r4=R10","benchmark_awfy_richards_opt",9889
67,64064,2,1,6,over_3_symbols,"ENDLIFE_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R3;c1=label@4682;r2=R8;r3=R5;r4=R67;c2=int:20","benchmark_awfy_richards_opt",4421
68,63481,8,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R9;r2=R68;c1=int:0;c2=label@4936;r3=R17;r4=R67","benchmark_awfy_richards_opt",4682
69,61249,5,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETATTRS_REG_INT(r2,c3)","c1=label@4202;r1=R17;r2=R19;r3=R13;c2=int:20;c3=int:6","benchmark_awfy_richards_opt",4094
70,58123,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1)","r1=R14;r2=R15;r3=R16;r4=R17;c1=int:0","benchmark_awfy_richards_opt",4082
71,57437,9,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | BR_ID(c1)","r1=R6;r2=R5;c1=label@2979","benchmark_awfy_richards_opt",3004
72,57308,4,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R7;r2=R6;r3=R13;c1=int:24;c2=int:6","benchmark_awfy_richards_opt",3839
73,53463,2,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@5327;r1=R35;r2=R68;c2=int:3;c3=label@6047","benchmark_awfy_richards_opt",5320
74,53463,2,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R35;r2=R68;c1=int:2;c2=label@5327;c3=int:3","benchmark_awfy_richards_opt",5316
75,51167,11,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1","benchmark_awfy_richards_opt",636
76,50204,3,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | LOAD_REG_INT(r1,c1)","r1=R9;r2=R7;c1=int:1","benchmark_awfy_richards_opt",4409
77,46496,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R16;r2=R10;c1=int:1;r3=R14;r4=R15;r5=R17;c2=int:0","benchmark_awfy_richards_opt",4078
78,45687,3,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c1)","r1=R6;r2=R10;c1=int:0;r3=R5;r4=R7","benchmark_awfy_richards_opt",2930
79,44175,7,1,8,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | MINATTRS_REG_REG_INT(r4,r6,c2)","r1=R9;r2=R6;r3=R7;r4=R3;r5=R67;c1=int:17;r6=R1;c2=int:0","benchmark_awfy_richards_opt",4459
80,44061,4,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2)","r1=R6;c1=label@4347;r2=R8;r3=R9;c2=int:0","benchmark_awfy_richards_opt",4334
81,43505,12,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R10;r2=R8;r3=R9;r4=R14","benchmark_awfy_richards_opt",2553
82,41859,10,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R13;r2=R12;c1=int:1;r3=R5;r4=R11;c2=int:9","benchmark_awfy_richards_opt",640
83,40814,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3)","c1=label@9876;r1=R8;r2=R10;r3=R15;c2=int:21;r4=R5;c3=int:2","benchmark_awfy_richards_opt",9837
84,40814,1,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r4) | LINKATTR1_REG_REG_INT(r5,r6,c1)","r1=R2;r2=R10;r3=R11;r4=R5;r5=R7;r6=R15;c1=int:2","benchmark_awfy_richards_opt",9855
85,40228,6,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R23;r2=R13;r3=R24;r4=R7;r5=R25;r6=R18","benchmark_awfy_richards_opt",4238
86,34873,4,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | SETATTRS_REG_INT(r4,c2)","r1=R20;r2=R18;r3=R19;r4=R14;r5=R13;c1=int:24;c2=int:6","benchmark_awfy_richards_opt",4155
87,34873,6,1,7,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R9;r2=R28;c1=int:0;r3=R10;r4=R7;r5=R27;c2=int:1","benchmark_awfy_richards_opt",4026
88,34063,5,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R7;r3=R9;r4=R27;c1=int:17","benchmark_awfy_richards_opt",3995
89,33249,6,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@4936;r1=R9;r2=R17;r3=R67;r4=R7;c2=int:8","benchmark_awfy_richards_opt",4686
90,33246,3,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2)","c1=int:1;r1=R2;r2=R60","benchmark_awfy_richards_opt",482
91,33245,2,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@3789;r1=R5;r2=R3;c2=int:5;c3=label@3797","benchmark_awfy_richards_opt",3782
92,33245,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_INT(r5,r3,c1)","r1=R4;r2=R13;r3=R3;r4=R14;r5=R5;c1=int:0","benchmark_awfy_richards_opt",3772
93,33245,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | ILT_REG_REG_INT(r3,r2,c1)","r1=R3;r2=R1;r3=R6;c1=int:0","benchmark_awfy_richards_opt",3802
94,33245,2,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R6;c1=int:0;c2=label@3816","benchmark_awfy_richards_opt",3804
95,33245,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3)","r1=R3;r2=R14;r3=R5;c1=int:0;c2=label@3789","benchmark_awfy_richards_opt",3775
96,33245,2,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R5;r2=R3;c1=int:0;c2=label@3789;c3=int:5","benchmark_awfy_richards_opt",3778
97,32550,11,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R60;r2=R11;r3=R0;r4=R10;r5=R20","benchmark_awfy_richards_opt",888
98,32550,11,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R0;r2=R10;r3=R20;r4=R60;r5=R19","benchmark_awfy_richards_opt",891
99,32550,11,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","r1=R17;r2=R60;r3=R11;r4=R0;r5=R10","benchmark_awfy_richards_opt",886
100,32545,6,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r4) | LOAD_REG_INT(r5,c1)","r1=R6;r2=R20;r3=R21;r4=R8;r5=R5;c1=int:1","benchmark_awfy_richards_opt",4761
101,32544,7,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R21;r2=R32;c1=int:0;c2=label@5198;r3=R8;r4=R28;c3=int:10","benchmark_awfy_richards_opt",5170
102,32538,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R23;r2=R1;r3=R25;c1=int:0;c2=label@5013","benchmark_awfy_richards_opt",4946
103,28601,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | ICOPY_REG_REG(r3,r4)","r1=R18;r2=R15;r3=R21;r4=R14","benchmark_awfy_richards_opt",4260
104,27884,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r5,r3,c1)","r1=R51;r2=R68;r3=R50;r4=R1;r5=R53;c1=int:0","benchmark_awfy_richards_opt",6064
105,26734,3,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINATTRS_REG_REG_INT(r2,r4,c2)","r1=R10;r2=R9;r3=R27;c1=int:17;r4=R28;c2=int:0","benchmark_awfy_richards_opt",3998
106,25583,7,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","c1=label@5198;r1=R21;r2=R8;r3=R28;c2=int:10;r4=R23;c3=int:0","benchmark_awfy_richards_opt",5174
107,25579,6,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r1)","r1=R3;r2=R5","benchmark_awfy_richards_opt",504
108,25576,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | ICOPY_REG_REG(r1,r4)","r1=R7;r2=R8;r3=R9;r4=R10;r5=R12;c1=int:22","benchmark_awfy_richards_opt",2525
109,25573,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2)","r1=R9;r2=R27;c1=int:15;r3=R28;c2=int:0","benchmark_awfy_richards_opt",4020
