rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
104,1024,1,1,4,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | INC_REG(r3)","r1=R5;c1=int:256;r2=R0;r3=R3","benchmark_base64_roundtrip_noopt",300
105,1024,1,1,5,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2) | IMOD_REG_REG_INT(r1,r1,c3)","r1=R5;r2=R3;c1=int:31;c2=int:7;c3=int:256","benchmark_base64_roundtrip_noopt",292
106,1001,1,1,3,candidate,"BRESIZE_REG_REG(r1,r2) | BLEN_REG_REG(r3,r1) | RET_REG(r3)","r1=R4;r2=R1;r3=R2","binary",724
107,1001,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BRESIZE_REG_REG(r4,r1)","r1=R1;r2=R5;r3=R2;c1=int:0;r4=R4","binary",718
108,1001,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | BRESIZE_REG_REG(r2,r3) | BLEN_REG_REG(r1,r2)","r1=R2;c1=int:0;r2=R4;r3=R1","binary",721
109,1001,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c4)","c1=int:18;c2=int:1;c3=int:2;r1=R1;r2=R5;r3=R2;c4=int:0","binary",714
110,1000,2,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | BSETU8_REG_REG_REG(r4,r1,r3)","r1=R20;r2=R5;c1=int:2;r3=R21;c2=int:61;r4=R6","benchmark_base64_roundtrip_noopt",509
111,1000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3) | SWAPCALL_REG_FUNC_REG_REG_REG(r4,c2,r1,r5,r6)","r1=R7;c1=int:2;r2=R8;r3=R6;r4=R10;c2=func@12064;r5=R2;r6=R9","benchmark_base64_roundtrip_noopt",353
112,1000,2,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | LOAD_REG_STRING(r2,c3)","c1=int:18;c2=int:1;r1=R6;r2=R7;c3=string@15312","benchmark_base64_roundtrip_noopt",314
113,1000,2,1,6,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R25;r2=R9;r3=R6;c1=int:0;r4=R11;c2=int:1","benchmark_base64_roundtrip_noopt",588
114,1000,2,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R6;r2=R8;r3=R2;r4=R9;r5=R4;c1=int:0","benchmark_base64_roundtrip_noopt",365
115,503,3,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | BCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R3;c2=int:512;r2=R0;c3=label@16","binary",4
116,502,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;c1=int:0;r2=R1","length",16
117,502,2,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | BRTPANDT_ID_REG_INT(c4,r1,c5) | BCOPY_REG_REG(r2,r1)","c1=int:18;c2=int:1;c3=int:2;c4=label@13;r1=R3;c5=int:512;r2=R0","binary",0
118,501,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R1;c1=int:0;r2=R0","binary",16
119,500,1,1,2,candidate,"BCOPY_REG_REG(r1,r2) | BINTOS_REG(r1) | RET_REG(r1)","r1=R21;r2=R6","benchmark_base64_roundtrip_noopt",562
120,500,1,1,6,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IDIV_REG_REG_INT(r1,r3,c3)","c1=label@674;r1=R13;r2=R6;c2=int:1;r3=R2;c3=int:4","benchmark_base64_roundtrip_noopt",667
121,500,1,1,6,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | ISUB_REG_REG_INT(r3,r4,c2)","c1=label@635;r1=R13;r2=R6;c2=int:1;r3=R11;r4=R2","benchmark_base64_roundtrip_noopt",628
122,500,1,1,5,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@193;r1=R14;r2=R1;r3=R13;c2=label@204","substr",186
123,500,1,1,6,candidate,"BRT_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | CALL1_REG_FUNC_REG(r3,c3,r2)","c1=label@94;r1=R8;r2=R4;c2=int:256;r3=R3;c3=func@4984","benchmark_base64_roundtrip_noopt",73
124,500,1,1,7,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1) | IADD_REG_REG_INT(r5,r5,c2)","r1=R6;r2=R18;r3=R17;r4=R4;c1=int:3;r5=R5;c2=int:4","benchmark_base64_roundtrip_noopt",548
125,500,1,1,6,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R6;r2=R20;r3=R21;r4=R15;c1=int:2;c2=label@541","benchmark_base64_roundtrip_noopt",516
126,500,1,1,6,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2) | IMULT_REG_REG_INT(r2,r2,c3)","r1=R6;c1=int:1;r2=R13;r3=R2;c2=int:4;c3=int:3","benchmark_base64_roundtrip_noopt",670
127,500,1,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_INT(r2,r3,c1) | LOAD_REG_INT(r4,c1)","r1=R6;c1=int:1;r2=R11;r3=R2;r4=R12","benchmark_base64_roundtrip_noopt",631
128,500,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r1,r1,c2) | IMULT_REG_REG_INT(r3,r1,c3)","r1=R8;r2=R3;c1=int:2;c2=int:3;r3=R2;c3=int:4","benchmark_base64_roundtrip_noopt",341
129,500,1,1,6,candidate,"IDIV_REG_REG_INT(r1,r1,c1) | IMULT_REG_REG_INT(r2,r1,c2) | LOAD_REG_INT(r3,c3)","r1=R8;c1=int:3;r2=R2;c2=int:4;r3=R7;c3=int:2","benchmark_base64_roundtrip_noopt",345
130,500,1,1,6,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2) | ISUB_REG_REG_REG(r3,r1,r4)","r1=R13;r2=R2;c1=int:4;c2=int:3;r3=R4;r4=R6","benchmark_base64_roundtrip_noopt",674
131,500,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4)","r1=R14;r2=R11;c1=int:0;c2=label@193;r3=R1;r4=R13","substr",182
132,500,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETTP_REG_INT(r4,c2)","r1=R8;r2=R9;r3=R5;c1=label@94;r4=R4;c2=int:256","benchmark_base64_roundtrip_noopt",69
133,500,1,1,6,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r1,r3) | LOAD_REG_INT(r4,c2)","r1=R13;c1=int:3;r2=R4;r3=R6;r4=R11;c2=int:2","benchmark_base64_roundtrip_noopt",678
134,500,1,1,6,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SWAP_REG_REG(r2,r4)","r1=R2;r2=R8;c1=int:4;r3=R7;c2=int:2;r4=R6","benchmark_base64_roundtrip_noopt",349
135,500,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R11;r2=R2;c1=int:1;r3=R12;r4=R9;c2=int:4","benchmark_base64_roundtrip_noopt",635
136,500,1,1,7,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | SWAP_REG_REG(r5,r6)","r1=R4;r2=R13;r3=R6;r4=R11;c1=int:2;r5=R12;r6=R7","benchmark_base64_roundtrip_noopt",682
137,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IADD_REG_REG_INT(r4,r4,c2)","r1=R17;c1=int:61;r2=R6;r3=R18;r4=R4;c2=int:3","benchmark_base64_roundtrip_noopt",545
138,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_INT(r1,r4,c2)","r1=R21;c1=int:61;r2=R6;r3=R20;r4=R15;c2=int:2","benchmark_base64_roundtrip_noopt",513
139,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ILTE_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R5;c1=int:0;r2=R15;r3=R3;r4=R2;c2=label@1001","benchmark_base64_roundtrip_noopt",707
140,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R5;c1=int:0;r2=R16;r3=R4;r4=R3;c2=label@562","benchmark_base64_roundtrip_noopt",374
141,500,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r3,r1,r4)","r1=R4;c1=int:0;r2=R5;r3=R16;r4=R3","benchmark_base64_roundtrip_noopt",371
142,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILTE_REG_REG_REG(r3,r1,r4)","r1=R3;c1=int:1;r2=R5;c2=int:0;r3=R15;r4=R2","benchmark_base64_roundtrip_noopt",704
143,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R6;c1=int:0;r2=R11;c2=int:1;r3=R8;c3=int:4","benchmark_base64_roundtrip_noopt",591
144,500,1,1,9,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R0;c1=string@15312;r2=R8;c2=int:1;r3=R2;c3=func@6288;r4=R25;c4=int:256;r5=R9","benchmark_base64_roundtrip_noopt",575
145,500,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | STOBIN_REG(r2)","r1=R7;c1=string@15312;r2=R0","benchmark_base64_roundtrip_noopt",320
146,500,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R0;c1=string@15312;r3=R8;c2=int:1","benchmark_base64_roundtrip_noopt",573
147,500,1,1,4,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1) | SCOPY_REG_REG(r3,r2)","r1=R6;r2=R7;c1=string@15312;r3=R0","benchmark_base64_roundtrip_noopt",318
148,500,1,1,5,candidate,"REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3)","r1=R13;c1=string@34032;c2=label@635;r2=R6;c3=int:1","benchmark_base64_roundtrip_noopt",624
149,500,1,1,6,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R13;r2=R8;c1=string@34032;c2=label@674;r3=R6;c3=int:1","benchmark_base64_roundtrip_noopt",663
150,500,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R0;r2=R7;c1=int:1","benchmark_base64_roundtrip_noopt",323
151,500,1,1,8,candidate,"STOBIN_REG(r1) | LOAD_REG_INT(r2,c1) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c2,r2,r4,c3,r5)","r1=R0;r2=R7;c1=int:1;r3=R3;c2=func@15992;r4=R23;c3=int:256;r5=R8","benchmark_base64_roundtrip_noopt",326
152,500,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_INT(r2,r3,c1) | IDIV_REG_REG_INT(r2,r2,c2)","r1=R23;r2=R8;r3=R3;c1=int:2;c2=int:3","benchmark_base64_roundtrip_noopt",338
153,500,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R2;r2=R10;r3=R13;c1=string@34032;c2=label@635","benchmark_base64_roundtrip_noopt",621
154,500,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R25;r2=R10;r3=R13;r4=R8;c1=string@34032;c2=label@674","benchmark_base64_roundtrip_noopt",660
155,500,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | REQ_REG_REG_STRING(r5,r5,c1)","r1=R25;r2=R9;r3=R2;r4=R10;r5=R13;c1=string@34032","benchmark_base64_roundtrip_noopt",618
156,2,2,1,5,candidate,"SWAP_REG_REG(r1,r2) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R3;r2=R9;r3=R7;c1=int:1368;c2=label@142","benchmark_base64_roundtrip_noopt",104
157,1,1,1,5,candidate,"BCMPB_REG_REG_REG(r1,r2,r3) | BNE_ID_REG_INT(c1,r1,c2) | RET_INT(c2)","r1=R6;r2=R0;r3=R2;c1=label@645;c2=int:0","binary",635
158,1,1,1,5,candidate,"BLEN_REG_REG(r1,r2) | BLEN_REG_REG(r3,r4) | IEQ_REG_REG_REG(r5,r1,r3)","r1=R1;r2=R0;r3=R3;r4=R2;r5=R5","binary",619
159,1,1,1,5,candidate,"BLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R3;r2=R2;r3=R5;r4=R1;c1=label@645","binary",622
160,1,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BCMPB_REG_REG_REG(r2,r3,r4)","c1=label@645;r1=R5;r2=R6;c2=int:0;r3=R0;r4=R2","binary",629
161,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@41;r1=R7;r2=R8;r3=R0;c2=int:1","benchmark_base64_roundtrip_noopt",29
162,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@15;r1=R13;c2=int:512;r2=R0;c3=label@18","benchmark_base64_roundtrip_noopt",6
163,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R11;r2=R1;c1=string@10776","benchmark_base64_roundtrip_noopt",247
164,1,1,1,4,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r3)","r1=R11;r2=R8;c1=string@10352;r3=R1","benchmark_base64_roundtrip_noopt",237
165,1,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | LOAD_REG_INT(r3,c3)","r1=R11;c1=string@9832;r2=R5;c2=string@9984;r3=R9;c3=int:1","benchmark_base64_roundtrip_noopt",214
166,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R7;r2=R0;c1=int:0;c2=int:1;c3=label@41","benchmark_base64_roundtrip_noopt",21
167,1,1,1,6,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R5;r2=R1;r3=R3;c1=label@645;r4=R6;c2=int:0","binary",625
168,1,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R5;r2=R8;c1=int:1;c2=label@60","benchmark_base64_roundtrip_noopt",38
169,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R7;c1=int:1;c2=label@41;r2=R8;r3=R0","benchmark_base64_roundtrip_noopt",25
170,1,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:1;r2=R4;r3=R2;c2=label@1095","benchmark_base64_roundtrip_noopt",1072
171,1,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2)","r1=R1;r2=R11","benchmark_base64_roundtrip_noopt",245
172,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SCONCAT_REG_REG_STRING(r2,r2,c1)","r1=R8;r2=R11;c1=string@10352","benchmark_base64_roundtrip_noopt",235
173,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R5;r2=R11;c1=string@9832;c2=string@9984","benchmark_base64_roundtrip_noopt",212
174,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | BCMPB_REG_REG_REG(r1,r2,r3) | BNE_ID_REG_INT(c2,r1,c1)","r1=R6;c1=int:0;r2=R0;r3=R2;c2=label@645","binary",632
175,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r2,r3) | BLEN_REG_REG(r1,r4)","r1=R3;c1=int:0;r2=R1;r3=R0;r4=R2","binary",616
176,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R5;c1=int:1;r2=R7;r3=R0;c2=int:0","benchmark_base64_roundtrip_noopt",18
177,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R9;c1=int:1;r2=R8;r3=R5;c2=label@94","benchmark_base64_roundtrip_noopt",66
178,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R2;c1=int:1023;r2=R1;r3=R3;c2=label@312","benchmark_base64_roundtrip_noopt",282
179,1,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | BLEN_REG_REG(r1,r3)","r1=R1;c1=int:0;r2=R3;r3=R0","binary",613
180,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R0;c1=int:0;r2=R2;r3=R3;c2=int:1","benchmark_base64_roundtrip_noopt",1053
181,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R3;c1=int:0;r2=R2;c2=int:1023;r3=R1","benchmark_base64_roundtrip_noopt",279
182,1,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R2;c1=int:0;r2=R3;c2=int:1;r3=R5;c3=func@15992;r4=R7;c4=int:256;r5=R4","benchmark_base64_roundtrip_noopt",1056
183,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SWAP_REG_REG(r3,r4)","r1=R3;c1=int:1024;r2=R1;c2=int:2;r3=R2;r4=R0","benchmark_base64_roundtrip_noopt",263
184,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3) | CALL_REG_FUNC_REG(r4,c2,r1)","r1=R1;c1=int:2;r2=R2;r3=R0;r4=R4;c2=func@12064","benchmark_base64_roundtrip_noopt",266
185,1,1,1,6,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R3;c1=string@256;r2=R9;c2=int:1;r3=R8;r4=R5","benchmark_base64_roundtrip_noopt",63
186,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R8;r2=R0;c1=int:1;r3=R5","benchmark_base64_roundtrip_noopt",32
187,1,1,1,5,candidate,"NULL_REG(r1) | BRTPANDT_ID_REG_INT(c1,r2,c2) | COPY_REG_REG(r3,r2)","r1=R2;c1=label@15;r2=R13;c2=int:512;r3=R0","benchmark_base64_roundtrip_noopt",4
188,1,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R0;r2=R3;c1=int:1024;r3=R1;c2=int:2","benchmark_base64_roundtrip_noopt",261
189,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R0;c3=int:0;r2=R2","benchmark_base64_roundtrip_noopt",1049
190,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | BRTPANDT_ID_REG_INT(c3,r2,c4)","c1=int:18;c2=int:1;r1=R2;c3=label@15;r2=R13;c4=int:512","benchmark_base64_roundtrip_noopt",0
191,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R0;r2=R3;c3=int:1024","benchmark_base64_roundtrip_noopt",257
192,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R11;c1=string@10776;c2=int:0","benchmark_base64_roundtrip_noopt",251
193,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2)","r1=R11;c1=string@10352;r2=R1","benchmark_base64_roundtrip_noopt",241
194,1,1,1,9,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R11;c1=string@9984;r2=R9;c2=int:1;r3=R8;c3=func@6288;r4=R3;c4=int:256;r5=R10","benchmark_base64_roundtrip_noopt",218
195,1,1,1,8,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c2,r4,r5,c1,r6)","r1=R4;c1=int:256;r2=R10;r3=R8;c2=func@7432;r4=R9;r5=R2;r6=R11","benchmark_base64_roundtrip_noopt",145
196,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R8;r2=R5;c1=int:1","benchmark_base64_roundtrip_noopt",36
197,1,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r3,c1) | IGT_REG_REG_REG(r2,r4,r3)","r1=R7;r2=R4;r3=R5;c1=int:1;r4=R2","benchmark_base64_roundtrip_noopt",1069
198,1,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r4,r3)","r1=R3;r2=R10;r3=R8;r4=R11","benchmark_base64_roundtrip_noopt",232
199,1,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r2,c2)","r1=R0;r2=R2;r3=R3;c1=int:0;c2=int:1023","benchmark_base64_roundtrip_noopt",276
200,1,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | INE_REG_REG_INT(r4,r5,c1)","r1=R4;r2=R10;r3=R2;r4=R11;r5=R8;c1=int:0","benchmark_base64_roundtrip_noopt",158
