sample_id,stream,line_number,text
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,2,mode=get-hit
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,3,family=ascii
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,4,size=64
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,5,iterations=1
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,6,elapsed_us=184
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,7,checksum=2
timing-nr15-load-first-access-lifecycle-rxvm-before-recorded-1,stdout,8,PASS: NR-15 stem access compare
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,2,mode=get-hit
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,3,family=ascii
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,4,size=64
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,5,iterations=1
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,6,elapsed_us=165
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,7,checksum=2
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-1,stdout,8,PASS: NR-15 stem access compare
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,2,mode=get-hit
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,3,family=ascii
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,4,size=64
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,5,iterations=1
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,6,elapsed_us=169
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,7,checksum=2
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-1,stdout,8,PASS: NR-15 stem access compare
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,2,mode=get-hit
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,3,family=ascii
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,4,size=64
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,5,iterations=1
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,6,elapsed_us=170
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,7,checksum=2
timing-nr15-load-first-access-lifecycle-rxbvm-after-recorded-1,stdout,8,PASS: NR-15 stem access compare
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,2,mode=get-hit
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,3,family=ascii
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,4,size=64
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,5,iterations=1
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,6,elapsed_us=160
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,7,checksum=2
timing-nr15-load-first-access-lifecycle-rxvm-after-recorded-2,stdout,8,PASS: NR-15 stem access compare
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-2,stdout,1,benchmark=nr15_stem_access_compare
timing-nr15-load-first-access-lifecycle-rxbvm-before-recorded-2,stdout,2,mode=get-hit
