rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,109230,6,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R16;c1=int:0;c2=label@888;r3=R6;r4=R14;c3=int:2;r5=R15","benchmark_awfy_towers_opt",863
2,82050,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r2) | SETOBJUNINIT_REG_STRING(r2,c3)","r1=R14;c1=int:18;c2=int:1;r2=R3;c3=string@11","benchmark_awfy_towers_opt",710
3,82050,1,1,6,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R16","benchmark_awfy_towers_opt",716
4,82050,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c3) | LOAD_REG_INT(r2,c4)","c1=int:18;c2=int:1;r1=R3;c3=string@11;r2=R1;c4=int:0","benchmark_awfy_towers_opt",712
5,82050,1,1,7,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R16;c3=label@752","benchmark_awfy_towers_opt",718
6,82020,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | IGETUNLINK_REG_REG(r5,r4)","c1=label@863;r1=R1;r2=R9;r3=R15;r4=R7;c2=int:1;r5=R6","benchmark_awfy_towers_opt",799
7,82020,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@799;r1=R1;r2=R6;r3=R14;c2=int:2;r4=R3","benchmark_awfy_towers_opt",738
8,82020,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BR_ID(c2)","r1=R9;r2=R15;r3=R7;c1=int:1;r4=R6;c2=label@814","benchmark_awfy_towers_opt",802
9,82020,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IGETUNLINK_REG_REG(r2,r3) | BR_ID(c2)","r1=R8;r2=R6;r3=R7;r4=R3;c1=int:1;c2=label@826","benchmark_awfy_towers_opt",814
10,82020,3,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2)","r1=R1;r2=R6;c1=label@799;r3=R14;c2=int:2;r4=R3","benchmark_awfy_towers_opt",735
11,82020,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R14;c1=int:3;r3=R1;c2=label@799;c3=int:2","benchmark_awfy_towers_opt",731
12,81910,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2) | UNLINK_REG(r1)","r1=R23;r2=R26;c1=int:3;r3=R21;c2=string@9","benchmark_awfy_towers_opt",218
13,81910,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R22;r2=R5;c1=int:1;r3=R21","benchmark_awfy_towers_opt",271
14,81900,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R35;c1=int:18;c2=int:1;r2=R8;r3=R36;c3=label@1558","benchmark_awfy_towers_opt",1354
15,81900,2,1,6,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R5;c1=string@9;r2=R7;r3=R37;c2=int:0;c3=label@1455","benchmark_awfy_towers_opt",1433
16,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R5;r2=R7;c1=string@9;r3=R37;c2=int:0","benchmark_awfy_towers_opt",1430
17,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | SETTP_REG_INT(r4,c1) | SETTP_REG_INT(r3,c1)","r1=R13;r2=R15;r3=R12;r4=R35;c1=int:256","benchmark_awfy_towers_opt",1524
18,81900,2,1,7,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r4,c2,r3,r1,r5)","r1=R12;r2=R13;r3=R35;c1=int:256;r4=R7;c2=func@10520;r5=R38","benchmark_awfy_towers_opt",1527
19,81900,2,1,6,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R15;c1=string@11;r2=R7;r3=R37;c2=int:0;c3=label@1389","benchmark_awfy_towers_opt",1367
20,81830,3,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r4,c2,r3)","r1=R6;r2=R15;r3=R5;c1=int:1;r4=R14;c2=int:3","benchmark_awfy_towers_opt",874
21,81830,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R14;c1=int:2;r3=R15;r4=R5;c2=int:1","benchmark_awfy_towers_opt",870
22,81800,1,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | COPY_REG_REG(r5,r3)","r1=R11;r2=R15;r3=R6;r4=R3;r5=R7;c1=int:3","benchmark_awfy_towers_opt",838
23,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R6;r2=R3;r3=R7;r4=R11;c1=int:3","benchmark_awfy_towers_opt",841
24,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R7;r2=R6;c1=int:1;r3=R11;c2=int:2","benchmark_awfy_towers_opt",848
25,81800,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R11;c1=int:2;r2=R6;r3=R15;r4=R7;r5=R16;c2=int:0;c3=label@888","benchmark_awfy_towers_opt",856
26,81800,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R11;c1=int:3;r3=R6;c2=int:1","benchmark_awfy_towers_opt",844
27,81800,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | IEQ_REG_REG_INT(r4,r5,c3)","r1=R6;c1=int:1;r2=R11;c2=int:2;r3=R15;r4=R7;r5=R16;c3=int:0","benchmark_awfy_towers_opt",853
28,81800,1,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | COPY_REG_REG(r4,r3)","r1=R7;r2=R6;c1=int:1;r3=R11;c2=int:2;r4=R15","benchmark_awfy_towers_opt",851
29,54750,2,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGETUNLINK_REG_REG(r4,r2) | BRF_ID_REG(c3,r4)","c1=label@752;r1=R5;r2=R6;r3=R14;c2=int:3;r4=R1;c3=label@799","benchmark_awfy_towers_opt",728
30,54750,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3)","r1=R5;r2=R16;c1=int:0;c2=label@752;r3=R6;r4=R14;c3=int:3;r5=R1","benchmark_awfy_towers_opt",724
31,54730,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R14;c1=int:2;r3=R3;c2=label@799","benchmark_awfy_towers_opt",741
32,54630,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINK_REG(r2)","c1=label@888;r1=R7;r2=R6;r3=R14;c2=int:2;r4=R15","benchmark_awfy_towers_opt",867
33,54630,2,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | BR_ID(c3)","r1=R6;r2=R5;c1=int:1;r3=R14;c2=int:3;c3=label@929","benchmark_awfy_towers_opt",877
34,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINKBR_REG_ID(r2,c3)","c1=label@1455;r1=R7;r2=R4;r3=R35;c2=int:2;r4=R5;c3=label@1481","benchmark_awfy_towers_opt",1442
35,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINKBR_REG_ID(r2,c3)","c1=label@1389;r1=R7;r2=R6;r3=R35;c2=int:2;r4=R15;c3=label@1415","benchmark_awfy_towers_opt",1376
